,mentions
content_contains_Anhui,965
content_contains_Beijing,2140
content_contains_Chongqing,928
content_contains_Fujian,978
content_contains_Gansu,948
content_contains_Guangdong,974
content_contains_Guangxi,925
content_contains_Guizhou,973
content_contains_Hainan,912
content_contains_Hebei,1041
content_contains_Heilongjiang,915
content_contains_Henan,977
content_contains_Hongkong,977
content_contains_Hubei,963
content_contains_Hunan,959
content_contains_Inner_Mongolia,974
content_contains_Jiangsu,1082
content_contains_Jiangxi,1042
content_contains_Jilin,892
content_contains_Liaoning,912
content_contains_Macau,851
content_contains_Ningxia,859
content_contains_Qinghai,868
content_contains_Shaanxi,964
content_contains_Shandong,1060
content_contains_Shanghai,1215
content_contains_Shanxi,915
content_contains_Sichuan,1070
content_contains_Taiwan,883
content_contains_Tianjin,992
content_contains_Tibet,936
content_contains_Xinjiang,1056
content_contains_Yunnan,965
content_contains_Zhejiang,1104
